recipe_name,description,category,ingredient,unit,quantity,step_order,step
Pancakes ,Fluffly flat cakes,Breakfast ,Flour,cup,1,1,Mix flour and eggs together in a bowl
Pancakes ,Fluffly flat cakes,Breakfast ,Egg,pieces,2,2,Heat up pan and pour oil to pan
Pancakes ,Fluffly flat cakes,Breakfast ,Water ,cup,0.5,3,Put the dough mixture into pan and cook
Pancakes ,Fluffly flat cakes,Breakfast ,Veggie Oil,tsp,1,4,Flip and serve with favorite toppings
Omlette,Fluffy cheeasy eggs ,Breakfast ,Egg ,pieces,3,1,"Whisk egg, cheese and spinach"
Omlette,Fluffy cheeasy eggs ,Breakfast ,Cheese ,grams,50,2,Heat up pan and pour oil to pan
Omlette,Fluffy cheeasy eggs ,Breakfast ,Spinach,cups,0.5,3,Pour egg mixture in 
Omlette,Fluffy cheeasy eggs ,Breakfast ,Oil,tsp,1,4,Take out and serve 
Spaghetti Bolognese,Classic Italian meat sauce pasta,Dinner,Spaghetti,grams,200,1,Boil spaghetti in salted water
Spaghetti Bolognese,Classic Italian meat sauce pasta,Dinner,Ground Beef,grams,250,2,Brown the ground beef in a pan
Spaghetti Bolognese,Classic Italian meat sauce pasta,Dinner,Tomato Sauce,cup,1,3,Add tomato sauce and simmer
Spaghetti Bolognese,Classic Italian meat sauce pasta,Dinner,Garlic,cloves,2,4,Pour it out into a serving and enjoy
Tacos,Quick beef tacos,Lunch,Ground Beef,grams,200,1,Cook beef with taco seasoning
Tacos,Quick beef tacos,Lunch,Tortillas,pieces,4,2,Warm tortillas in a pan
Tacos,Quick beef tacos,Lunch,Lettuce,cup,1,3,"Assemble beef, lettuce in tortillas"
Tacos,Quick beef tacos,Lunch,Shredded Cheese,cup,0.5,4,Top with cheese and serve
Caesar Salad,Classic romaine salad with dressing,Snack,Romaine Lettuce,cup,2,1,Chop and rinse lettuce
Caesar Salad,Classic romaine salad with dressing,Snack,Croutons,cup,1,2,Add croutons and parmesan
Caesar Salad,Classic romaine salad with dressing,Snack,Caesar Dressing,tbsp,3,3,Drizzle dressing and toss the salad
Scrambled Eggs,Easy fluffy scrambled eggs,Breakfast,Eggs,pieces,3,1,Crack eggs into a bowl
Scrambled Eggs,Easy fluffy scrambled eggs,Breakfast,Milk,tbsp,2,2,Whisk eggs with milk
Scrambled Eggs,Easy fluffy scrambled eggs,Breakfast,Butter,tbsp,1,3,Melt butter and pour egg mixture
Scrambled Eggs,Easy fluffy scrambled eggs,Breakfast,Salt,tsp,0.25,4,Stir eggs until cooked through
Chocolate Mug Cake,Quick cake in a mug (microwave),Dessert,Flour,tbsp,4,1,Mix dry ingredients in a mug
Chocolate Mug Cake,Quick cake in a mug (microwave),Dessert,Cocoa Powder,tbsp,2,2,"Add milk and oil, stir well"
Chocolate Mug Cake,Quick cake in a mug (microwave),Dessert,Milk,tbsp,3,3,Microwave on high for 90 seconds
Chocolate Mug Cake,Quick cake in a mug (microwave),Dessert,Chocolate Chips,tbsp,1,4,Let cool slightly and enjoy
Chicken Curry,Spicy and savory curry dish,Dinner,Chicken Breast,grams,300,1,Sauté chicken pieces in oil
Chicken Curry,Spicy and savory curry dish,Dinner,Onion,pieces,1,2,Add chopped onion and cook until soft
Chicken Curry,Spicy and savory curry dish,Dinner,Curry Powder,tbsp,2,3,Stir in curry powder and cook for 1 min
Chicken Curry,Spicy and savory curry dish,Dinner,Coconut Milk,cup,1,4,"Pour in coconut milk, simmer 15 mins"
Grilled Cheese,Classic melted cheese sandwich,Lunch,Bread Slices,pieces,2,1,Butter one side of each bread slice
Grilled Cheese,Classic melted cheese sandwich,Lunch,Cheese Slices,pieces,2,2,Place cheese between unbuttered sides
Grilled Cheese,Classic melted cheese sandwich,Lunch,Butter,tbsp,1,3,Grill in pan until golden brown on both sides
Fried Rice,Quick stir-fried rice dish,Lunch,Cooked Rice,cup,2,1,Heat oil in a large pan
Fried Rice,Quick stir-fried rice dish,Lunch,Mixed Veggies,cup,1,2,Add veggies and sauté for 2–3 minutes
Fried Rice,Quick stir-fried rice dish,Lunch,Soy Sauce,tbsp,2,3,"Add rice and soy sauce, stir well"
Fried Rice,Quick stir-fried rice dish,Lunch,Egg,pieces,1,4,"Push rice aside, scramble egg, mix in"
French Toast,Sweet egg-soaked fried bread,Breakfast,Bread Slices,pieces,2,1,"Whisk egg, milk, and cinnamon together"
French Toast,Sweet egg-soaked fried bread,Breakfast,Egg,pieces,1,2,Dip bread slices into egg mixture
French Toast,Sweet egg-soaked fried bread,Breakfast,Milk,tbsp,3,3,Fry bread on both sides until golden
